Date;Description;Counterparty;Amount;Account;Transaction ID
2024-01-24;Salary January 2024;Employer Ltd;3050,00;NL00DEMO0123456789;demo-202401-01
2024-01-25;Rent February;Landlord;-1125,00;NL00DEMO0123456789;demo-202401-02
2024-01-26;Monthly groceries;Albert Heijn;-238,47;NL00DEMO0123456789;demo-202401-03
2024-01-27;Energy January;Vattenfall;-162,30;NL00DEMO0123456789;demo-202401-04
2024-01-28;Rail subscription;Rail Operator;-41,20;NL00DEMO0123456789;demo-202401-05
2024-01-29;Streaming;Netflix;-15,99;NL00DEMO0123456789;demo-202401-06
2024-02-24;Salary February 2024;Employer Ltd;3050,00;NL00DEMO0123456789;demo-202402-01
2024-02-25;Rent March;Landlord;-1125,00;NL00DEMO0123456789;demo-202402-02
2024-02-26;Monthly groceries;Jumbo;-251,80;NL00DEMO0123456789;demo-202402-03
2024-02-27;Internet;KPN;-54,00;NL00DEMO0123456789;demo-202402-04
2024-02-28;Pharmacy;Central Pharmacy;-34,75;NL00DEMO0123456789;demo-202402-05
2024-02-29;Lunch;Cafe de Test;-38,20;NL00DEMO0123456789;demo-202402-06
2024-03-24;Salary March 2024;Employer Ltd;3050,00;NL00DEMO0123456789;demo-202403-01
2024-03-25;Rent April;Landlord;-1125,00;NL00DEMO0123456789;demo-202403-02
2024-03-26;Monthly groceries;Lidl;-229,64;NL00DEMO0123456789;demo-202403-03
2024-03-27;Health insurance;Health Insurer;-154,70;NL00DEMO0123456789;demo-202403-04
2024-03-28;Public transport trip;Rail Operator;-67,40;NL00DEMO0123456789;demo-202403-05
2024-03-29;Online order;Bol com;-89,95;NL00DEMO0123456789;demo-202403-06
2024-04-24;Salary April 2024;Employer Ltd;3050,00;NL00DEMO0123456789;demo-202404-01
2024-04-25;Rent May;Landlord;-1125,00;NL00DEMO0123456789;demo-202404-02
2024-04-26;Monthly groceries;Picnic;-242,10;NL00DEMO0123456789;demo-202404-03
2024-04-27;Energy April;Eneco;-148,30;NL00DEMO0123456789;demo-202404-04
2024-04-28;Music subscription;Spotify;-10,99;NL00DEMO0123456789;demo-202404-05
2024-04-29;Restaurant;Restaurant De Markt;-72,50;NL00DEMO0123456789;demo-202404-06
2024-05-24;Salary May 2024;Employer Ltd;3050,00;NL00DEMO0123456789;demo-202405-01
2024-05-25;Rent June;Landlord;-1125,00;NL00DEMO0123456789;demo-202405-02
2024-05-26;Monthly groceries;Albert Heijn;-264,72;NL00DEMO0123456789;demo-202405-03
2024-05-27;Phone;Odido;-22,50;NL00DEMO0123456789;demo-202405-04
2024-05-28;Fuel station;Shell;-83,40;NL00DEMO0123456789;demo-202405-05
2024-05-29;Shopping;Hema;-45,95;NL00DEMO0123456789;demo-202405-06
2024-06-24;Salary June 2024;Employer Ltd;3050,00;NL00DEMO0123456789;demo-202406-01
2024-06-25;Rent July;Landlord;-1125,00;NL00DEMO0123456789;demo-202406-02
2024-06-26;Monthly groceries;Jumbo;-244,31;NL00DEMO0123456789;demo-202406-03
2024-06-27;Internet;Ziggo;-56,00;NL00DEMO0123456789;demo-202406-04
2024-06-28;Public transport trip;Rail Operator;-48,60;NL00DEMO0123456789;demo-202406-05
2024-06-30;Collection costs arrears;Bank Demo;-45,00;NL00DEMO0123456789;demo-202406-07
2024-07-24;Salary July 2024;Employer Ltd;3100,00;NL00DEMO0123456789;demo-202407-01
2024-07-25;Rent August;Landlord;-1145,00;NL00DEMO0123456789;demo-202407-02
2024-07-26;Monthly groceries;Lidl;-236,22;NL00DEMO0123456789;demo-202407-03
2024-07-27;Water;Waternet;-32,15;NL00DEMO0123456789;demo-202407-04
2024-07-28;Streaming;Disney Plus;-10,99;NL00DEMO0123456789;demo-202407-05
2024-07-29;Dinner;Cafe de Test;-61,70;NL00DEMO0123456789;demo-202407-06
2024-08-24;Salary August 2024;Employer Ltd;3100,00;NL00DEMO0123456789;demo-202408-01
2024-08-25;Rent September;Landlord;-1145,00;NL00DEMO0123456789;demo-202408-02
2024-08-26;Monthly groceries;Aldi;-225,45;NL00DEMO0123456789;demo-202408-03
2024-08-27;Energy August;Vattenfall;-131,20;NL00DEMO0123456789;demo-202408-04
2024-08-28;Parking;Q Park;-29,50;NL00DEMO0123456789;demo-202408-05
2024-08-29;New monitor;Coolblue;-189,00;NL00DEMO0123456789;demo-202408-06
2024-09-24;Salary September 2024;Employer Ltd;3100,00;NL00DEMO0123456789;demo-202409-01
2024-09-25;Rent October;Landlord;-1145,00;NL00DEMO0123456789;demo-202409-02
2024-09-26;Monthly groceries;Plus Supermarket;-248,90;NL00DEMO0123456789;demo-202409-03
2024-09-27;Internet;KPN;-54,00;NL00DEMO0123456789;demo-202409-04
2024-09-28;Health insurance;Health Insurer;-154,70;NL00DEMO0123456789;demo-202409-05
2024-09-29;Restaurant;Restaurant De Markt;-84,20;NL00DEMO0123456789;demo-202409-06
2024-10-24;Salary October 2024;Employer Ltd;3100,00;NL00DEMO0123456789;demo-202410-01
2024-10-25;Rent November;Landlord;-1145,00;NL00DEMO0123456789;demo-202410-02
2024-10-26;Monthly groceries;Dirk;-231,05;NL00DEMO0123456789;demo-202410-03
2024-10-27;Energy October;Eneco;-139,40;NL00DEMO0123456789;demo-202410-04
2024-10-28;Public transport trip;Rail Operator;-63,80;NL00DEMO0123456789;demo-202410-05
2024-10-29;Games;Steam;-39,99;NL00DEMO0123456789;demo-202410-06
2024-11-24;Salary November 2024;Employer Ltd;3100,00;NL00DEMO0123456789;demo-202411-01
2024-11-25;Rent December;Landlord;-1145,00;NL00DEMO0123456789;demo-202411-02
2024-11-26;Monthly groceries;Picnic;-256,32;NL00DEMO0123456789;demo-202411-03
2024-11-27;Phone;Odido;-22,50;NL00DEMO0123456789;demo-202411-04
2024-11-28;Provisional tax assessment;Tax Authority;-240,00;NL00DEMO0123456789;demo-202411-05
2024-11-29;Lunch;Cafe de Test;-42,80;NL00DEMO0123456789;demo-202411-06
2024-12-20;Year-end bonus;Employer Ltd;500,00;NL00DEMO0123456789;demo-202412-00
2024-12-24;Salary December 2024;Employer Ltd;3100,00;NL00DEMO0123456789;demo-202412-01
2024-12-25;Rent January;Landlord;-1145,00;NL00DEMO0123456789;demo-202412-02
2024-12-26;Holiday groceries;Albert Heijn;-302,16;NL00DEMO0123456789;demo-202412-03
2024-12-27;Internet;Ziggo;-56,00;NL00DEMO0123456789;demo-202412-04
2024-12-28;Gifts;Bol com;-210,45;NL00DEMO0123456789;demo-202412-05
2024-12-29;Cinema;Pathe;-27,00;NL00DEMO0123456789;demo-202412-06
2025-01-24;Salary January 2025;Employer Ltd;3200,00;NL00DEMO0123456789;demo-202501-01
2025-01-25;Rent February;Landlord;-1180,00;NL00DEMO0123456789;demo-202501-02
2025-01-26;Monthly groceries;Albert Heijn;-270,32;NL00DEMO0123456789;demo-202501-03
